iter	Passed	Remaining
0	0	77
1	1	70
2	2	64
3	2	58
4	3	59
5	3	59
6	4	59
7	5	57
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	12	51
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	40
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	29	37
44	30	36
45	31	36
46	31	36
47	32	35
48	33	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
